sampleId	parsedLat	parsedLon	latFieldLabel	latFieldOriginalValue	lonFieldLabel	lonFieldOriginalValue
SRS5040903	42.38	-71.06	sample_lat_lon	42.38 N 71.06 W	sample_lat_lon	42.38 N 71.06 W
SRS5068020	31.31	110.49	sample_lat_lon	31.31 N 110.49 E	sample_lat_lon	31.31 N 110.49 E
SRS5068021	31.31	110.49	sample_lat_lon	31.31 N 110.49 E	sample_lat_lon	31.31 N 110.49 E
SRS5068022	31.31	110.49	sample_lat_lon	31.31 N 110.49 E	sample_lat_lon	31.31 N 110.49 E
SRS5068023	31.31	110.49	sample_lat_lon	31.31 N 110.49 E	sample_lat_lon	31.31 N 110.49 E
SRS5068024	39.98	115.43	sample_lat_lon	39.98 N 115.43 E	sample_lat_lon	39.98 N 115.43 E
SRS5068025	31.31	110.49	sample_lat_lon	31.31 N 110.49 E	sample_lat_lon	31.31 N 110.49 E
SRS5068026	31.31	110.49	sample_lat_lon	31.31 N 110.49 E	sample_lat_lon	31.31 N 110.49 E
SRS5068027	39.98	115.43	sample_lat_lon	39.98 N 115.43 E	sample_lat_lon	39.98 N 115.43 E
SRS5068028	39.98	115.43	sample_lat_lon	39.98 N 115.43 E	sample_lat_lon	39.98 N 115.43 E
SRS5068029	39.98	115.43	sample_lat_lon	39.98 N 115.43 E	sample_lat_lon	39.98 N 115.43 E
SRS5077425	44.8883	110.1353	sample_lat_lon	44.8883 N 110.1353 E	sample_lat_lon	44.8883 N 110.1353 E
SRS5103758	52.96	122.56	sample_lat_lon	52.96 N 122.56 E	sample_lat_lon	52.96 N 122.56 E
SRS5121647	47.4	8.6	sample_lat_lon	47.4 N 8.6 E	sample_lat_lon	47.4 N 8.6 E
SRS5121782	47.4	8.6	sample_lat_lon	47.4 N 8.6 E	sample_lat_lon	47.4 N 8.6 E
SRS5265783	39.5	96.52	sample_lat_lon	39.50 N 96.52 E	sample_lat_lon	39.50 N 96.52 E
SRS5265784	39.5	96.52	sample_lat_lon	39.50 N 96.52 E	sample_lat_lon	39.50 N 96.52 E
SRS5265787	39.5	96.52	sample_lat_lon	39.50 N 96.52 E	sample_lat_lon	39.50 N 96.52 E
SRS5424510	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5424511	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5424512	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5424513	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5424514	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5424515	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5424516	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5424517	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5424518	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5424519	40.84	-73.86	sample_lat_lon	40.84 N 73.86 W	sample_lat_lon	40.84 N 73.86 W
SRS5453789	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS5465110	52.21	4.57	sample_lat_lon	52.21 N 4.57 E	sample_lat_lon	52.21 N 4.57 E
SRS5465112	52.21	4.57	sample_lat_lon	52.21 N 4.57 E	sample_lat_lon	52.21 N 4.57 E
